episode,step,return,length
295,19844,238.0,238
296,20344,500.0,500
297,20480,136.0,136
298,20770,290.0,290
299,20988,218.0,218
300,21381,393.0,393
301,21729,348.0,348
302,21976,247.0,247
303,22335,359.0,359
304,22556,221.0,221
305,22990,434.0,434
306,23478,488.0,488
307,23959,481.0,481
308,24215,256.0,256
309,24547,332.0,332
310,25047,500.0,500
311,25547,500.0,500
312,26047,500.0,500
313,26547,500.0,500
314,27047,500.0,500
315,27547,500.0,500
316,28047,500.0,500
317,28547,500.0,500
318,29047,500.0,500
319,29500,453.0,453
320,30000,500.0,500
321,30500,500.0,500
322,31000,500.0,500
323,31257,257.0,257
324,31757,500.0,500
325,32257,500.0,500
326,32757,500.0,500
327,33257,500.0,500
328,33757,500.0,500
329,34257,500.0,500
330,34757,500.0,500
331,35257,500.0,500
332,35757,500.0,500
333,36257,500.0,500
334,36757,500.0,500
335,37257,500.0,500
336,37757,500.0,500
337,38257,500.0,500
338,38757,500.0,500
339,39257,500.0,500
340,39757,500.0,500
341,40257,500.0,500
342,40757,500.0,500
343,41257,500.0,500
344,41757,500.0,500
345,42257,500.0,500
346,42757,500.0,500
347,43257,500.0,500
348,43757,500.0,500
349,44257,500.0,500
350,44757,500.0,500
351,45257,500.0,500
352,45757,500.0,500
353,46257,500.0,500
354,46757,500.0,500
355,47257,500.0,500
356,47757,500.0,500
357,48257,500.0,500
358,48757,500.0,500
359,49257,500.0,500
360,49757,500.0,500
