iteration,step,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction
1,2048,-0.017137551968335173,26.163554814457893,0.6857266567647458,0.007486732212419156,0.00726268178987084,0.11181640625
2,4096,-0.015772188917617315,21.362494379281998,0.6704750327393413,0.006150421392521821,0.0048509903499507345,0.058935546875
3,6144,-0.021974172347108835,29.031324720382692,0.6414681192487478,0.007104316496406682,0.007248802977846936,0.07587890625
4,8192,-0.015351414561155251,36.9351083278656,0.614503831602633,0.006201797279936727,0.006060492274991702,0.0689453125
5,10240,-0.011228623916395009,36.898654493689534,0.591229815222323,0.0043551170834689405,0.005158233395195566,0.05068359375
6,12288,-0.008026239168248139,32.21649759113789,0.5728013116866351,0.0035464916509226896,0.005275119455473032,0.036083984375
7,14336,-0.008615367586025968,14.75772958919406,0.5828218426555395,0.004122607265890111,0.008355605184624438,0.052099609375
8,16384,-0.003859759762417525,19.77904808819294,0.5657150922343135,0.002979111668537371,0.00200809554225998,0.0306640625
9,18432,-4.862012501689605e-05,9.213216026127338,0.5537043865770102,0.002303178294096142,0.0025497207141597757,0.013720703125
10,20480,-0.0014318941510282456,5.143747214414179,0.5625567341223359,0.002886021506856196,0.002333502376859542,0.027587890625
11,22528,-0.005506477865856141,4.415300305560232,0.5637122523039579,0.0041382551120477725,0.0035023088523303157,0.04697265625
12,24576,-0.007644890912342816,6.1900246676057575,0.5602385645732284,0.004874876649409998,0.005108077093609609,0.06630859375
13,26624,-0.005814350149012171,25.705130833014845,0.5412825587205589,0.0030240475447499194,0.0032735495449742304,0.033203125
14,28672,-0.004474015266168863,1.1648352256393992,0.5452644994482398,0.00517194751300849,0.006995379012369085,0.063134765625
15,30720,-0.003847569299978204,26.293998267501593,0.5416812155395746,0.0019761634612223133,0.0018528108310420066,0.005517578125
16,32768,-0.004531802245764993,6.297162840887904,0.5477414583787322,0.0026812401571078225,0.0029332900390727445,0.008740234375
17,34816,-0.0036573372170096265,5.166789317550138,0.5347161809913814,0.0038680254874634556,0.003875396891089622,0.041064453125
18,36864,-0.007429789812886156,0.20627307762915734,0.5159316240809858,0.004686702613253146,0.004161910645780154,0.05537109375
19,38912,-0.00264841211901512,0.11875849636853672,0.5054942110553384,0.002696951550024096,0.0013278945785714313,0.027880859375
20,40960,-0.000239960772159975,0.07282525169284781,0.49714641673490406,0.0013798395768390038,0.0012403686589095742,0.008837890625
21,43008,-0.0035458722850307822,0.04733649941663316,0.5008238879963756,0.0034565658948849886,0.004992443766968791,0.039697265625
22,45056,-0.001135547272861004,0.02936980953127204,0.5008823066018522,0.003435100735805463,0.004551222214649897,0.02900390625
23,47104,-0.004334655732964166,0.01819344898867712,0.4874988798983395,0.006097397119447123,0.00976086695009144,0.082421875
24,49152,5.028240266256034e-05,0.011709551498915971,0.4903759803622961,0.0016852675573318266,0.0008949199356720783,0.013525390625
25,51200,-0.001208931257860968,0.008158416318656237,0.48132817912846804,0.0032552001663134432,0.003416431523510255,0.02685546875
26,53248,0.0004935671429848298,0.005073012197954085,0.49192155729979276,0.002280155099288095,0.0037022828299086543,0.0130859375
27,55296,-0.0010262707626679912,0.0033640125869169426,0.4782334198243916,0.0038698669377481565,0.0028254911594558507,0.037939453125
28,57344,-0.000229450105689466,0.002275829454174527,0.48111128713935614,0.0016885777411516755,0.0015013392447144724,0.015576171875
29,59392,-0.00470748191291932,0.001585457490079989,0.47648753188550474,0.006511208981100936,0.010056977480417117,0.09453125
30,61440,-0.0032703912729630247,0.0010995471892101705,0.47924091275781394,0.004758594119630288,0.007561574366991408,0.0517578125
31,63488,-0.0017155597801320256,0.0007322058053887304,0.4914561335928738,0.0037489620488486254,0.007935442638699896,0.039306640625
32,65536,-0.0028048378240782767,0.0005390414990642967,0.48728070985525845,0.004012664643232711,0.004344247664266732,0.049365234375
33,67584,-0.0012764438593876547,0.0003418927922723469,0.46962133022025226,0.0017064584957552143,0.0010480731434654444,0.012353515625
34,69632,-0.00167094616626855,0.00024779277828201884,0.46734374230727554,0.005492351012071595,0.008269377049873582,0.068408203125
35,71680,-0.003053994695073925,0.0001742074263646032,0.46759345158934595,0.004522620464558713,0.008104328507033642,0.05556640625
36,73728,-0.0019298092229291797,0.00014193152580332935,0.45722921267151834,0.0043125970667460935,0.0035371471589314752,0.040380859375
37,75776,-0.0002390898414887488,8.28279627640427e-05,0.4709658021107316,0.0029197574855061247,2.9833026928827164e-07,0.026318359375
38,77824,-0.0005748303243308328,5.8985554574064736e-05,0.4542667529545724,0.0018234750983538105,0.0012941372609930114,0.017333984375
39,79872,-0.0006017446634359658,4.777215936684343e-05,0.44966083830222486,0.0025339786996482873,0.0028555522323586045,0.02236328125
40,81920,-0.0026894846116192637,3.500424313926942e-05,0.4237403774634004,0.004062871549103874,0.004376047560072038,0.039599609375
41,83968,-0.00021603689820040017,2.2516781299941613e-05,0.430715789552778,0.0016434870412922464,0.0005750427779275924,0.013623046875
42,86016,0.00026461175584699956,1.6124667851613594e-05,0.42089654933661225,0.0014470450492808594,0.000362465571379289,0.00810546875
43,88064,-0.0022817872260930015,1.100409051986162e-05,0.41230808002874253,0.00214131362590706,0.0029924630682216955,0.01962890625
44,90112,-0.0006151612382382154,1.1459725966744827e-05,0.392045134305954,0.002277102843800094,0.002745483923354186,0.02001953125
45,92160,-0.0008796470050583593,9.044762472854018e-06,0.3823456384241581,0.0023640376079129056,0.0019430174957960843,0.024462890625
46,94208,-0.0019410951383179054,1.0137190977843602e-05,0.3836426852270961,0.002503464174515102,0.0020522302846075037,0.024462890625
47,96256,-0.0030676575624966063,4.123154339197299e-06,0.37668622406199576,0.004314952738059219,0.005044970285962336,0.05546875
48,98304,-0.0010141145234229044,3.889877564233757e-06,0.3617979820817709,0.0014247325700125657,0.0013057095449767076,0.01416015625
49,100000,-0.0019944294217835975,5.0583726550501996e-06,0.34625312487284343,0.0025704660332175316,0.0005868571603463756,0.027199074074074073
