iteration,step,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction
1,2048,-0.005513485730625689,762.3508850097656,1.3835194911807775,0.0028185998788103463,0.001964147621765733,0.00791015625
2,4096,-0.006413862947374583,680.5819094657897,1.3729856409132482,0.0028965646401047707,0.004875959726632573,0.009765625
3,6144,-0.004490838939091191,688.8130661010742,1.355626078695059,0.002524875267408788,0.003385290128062479,0.014892578125
4,8192,-0.007693900415324606,741.8543753623962,1.345789348706603,0.005223979745642282,0.006824799123569392,0.04521484375
5,10240,-0.006211725153843872,460.25864896774294,1.3297501150518656,0.004860939190257341,0.008017014863435179,0.028466796875
6,12288,-0.0076909429335501045,344.06930623054507,1.3259858448058366,0.0072201387694804,0.01221249342779629,0.076025390625
7,14336,-0.009787695988779887,222.045444893837,1.273796994611621,0.007052197080338374,0.005231764112249948,0.08134765625
8,16384,-0.005995982736931182,381.0555334568024,1.2572318341583013,0.004410680019645952,0.003128091583494097,0.042333984375
9,18432,-0.00778040879231412,266.97463431358335,1.2564342521131038,0.005953194040921516,0.008257879107259215,0.067138671875
10,20480,-0.0019602507862146014,240.07209033966063,1.2305208399891854,0.00462528879288584,0.005412635381799191,0.045556640625
11,22528,-0.0066955836984561755,145.5909198284149,1.1755547806620599,0.007972254397463985,0.009170529601396993,0.09541015625
12,24576,-0.010603369658929296,111.2511493563652,1.249629645422101,0.008560548431705683,0.011355209114844911,0.1265625
13,26624,-0.009693783686088864,104.81862853765487,1.1334422267973423,0.008806476736208425,0.007578481707605533,0.064599609375
14,28672,-0.005816076984046958,158.5450562953949,1.1689313866198063,0.0032741710456321016,0.0031226112914737314,0.01728515625
15,30720,-0.0020990218181395903,135.1840497493744,1.186292739585042,0.0015464700903976337,0.0022909552906639876,0.00166015625
16,32768,-0.007243489447864704,105.8000771522522,1.1871819745749235,0.0027866405172972007,0.004966558603337034,0.026904296875
17,34816,-0.008469248902110848,46.63639256954193,1.243311920389533,0.007228535789181478,0.01065582526207436,0.083642578125
18,36864,-0.0036494336469331755,106.68292781114579,1.1924061268568038,0.0021462253789650276,0.004697344329906627,0.02265625
19,38912,-0.008210818021325395,53.35770715475083,1.1640072379261255,0.0038037898135371505,0.006621648086002097,0.038232421875
20,40960,-0.010918230839888566,16.696241487562656,1.2605571199208498,0.008788845385424793,0.008919102730578743,0.12509765625
21,43008,-0.0053251679957611485,31.38575854897499,1.1877725582569838,0.0038511770602781326,0.007218511941027827,0.037939453125
22,45056,-0.004989852334256284,52.69990187883377,1.1708272270858289,0.004207487482926808,0.004063246207078919,0.039697265625
23,47104,-0.005024324497207999,47.687216609716415,1.1837920662015677,0.004038117555319331,0.0037485728331375866,0.066162109375
24,49152,-0.005206973926397041,58.3945365935564,1.172952712699771,0.003201994893606752,0.004589880627463572,0.040087890625
25,51200,-0.006823464456829242,97.0345955491066,1.0770281817764045,0.00564510045805946,0.0045279417710844426,0.056005859375
26,53248,-0.0045837845536880195,37.102712598443034,1.112671036273241,0.003223202901426703,0.004405127116478979,0.023583984375
27,55296,-0.008747437995043583,33.12993946075439,1.078651924431324,0.006005374505184591,0.00835389288549777,0.08916015625
28,57344,-0.007910595461726188,29.098574741184713,1.1508093323558568,0.005944486794760451,0.011078275903128088,0.075390625
29,59392,-0.005298592761391774,108.01163603663444,1.0247185297310353,0.0054663683142280204,0.004888811169075779,0.036572265625
30,61440,-0.00750317807396641,34.58848390877247,1.0245699806138873,0.006727014482021332,0.009367651859065518,0.088720703125
31,63488,-0.003372070865589194,17.792485058307648,1.049639173038304,0.004880102910101413,0.00560941816365812,0.04521484375
32,65536,-0.004702286684187129,30.60369802117348,1.082295509427786,0.003342767443973571,0.0023731399298412724,0.02802734375
33,67584,-0.008041013096226379,13.982765950262547,1.0696445371955634,0.007030737385503016,0.007535029208520427,0.088330078125
34,69632,-0.009946504562685731,14.231995732337236,1.1181691870093347,0.007770873472327367,0.007791247914428823,0.08515625
35,71680,-0.004728756056283601,34.73779336810112,1.1155057072639465,0.005195955894305371,0.0023363980872090906,0.04560546875
36,73728,-0.0026832592993741855,61.99392996281385,1.0629294987767934,0.002071114938007668,0.003320723626529798,0.01259765625
37,75776,-0.006214672556961886,41.64315549433231,1.081672814115882,0.004376643599243835,0.006444848378305323,0.034423828125
38,77824,-0.008830996576580218,12.017911104857921,1.1269154366105796,0.014303348181420006,0.010389348774333484,0.133349609375
39,79872,-0.008746500275447034,9.945562459900975,1.1169896595180036,0.008583338060998359,0.006491111591458321,0.09091796875
40,81920,-0.002031002441071905,6.622792461514473,1.121686701104045,0.004408586880890653,0.003764687335933559,0.044140625
41,83968,-0.006175496420473792,16.64770478159189,1.0632513778284192,0.006917640357278288,0.008598040306242182,0.067431640625
42,86016,-0.0025253682339098304,23.62866094112396,1.051937142200768,0.0033417957689380272,0.004680611597723328,0.02451171875
43,88064,-0.0014349517499795184,73.82612159475684,0.9749837717041373,0.005792697501601651,0.006913991874898784,0.054052734375
44,90112,-0.001994397159432992,3.5759833386167883,1.0688380558043717,0.006418989552184939,0.004519089517998509,0.071142578125
45,92160,-0.004351649527961854,21.729315037466584,0.9091952772811055,0.0036940245423465966,0.005559708405053243,0.040625
46,94208,-0.004610128422791604,3.670729040727019,0.7771687904372812,0.004142429382773117,0.0045996719942195344,0.066357421875
47,96256,-0.0069861898198723795,18.997426120936872,0.9481550494208932,0.006309561955276877,0.004049207418574952,0.05302734375
48,98304,-0.006344253646966535,52.60491689294577,0.928821443207562,0.004498863956541754,0.005021600562031381,0.04931640625
49,100352,-0.006278711481718347,2.445907299593091,0.9580750476568938,0.008237993164220825,0.0071970935940044,0.098193359375
50,102400,-0.00400082549022045,2.3238044088706373,0.8937150204554201,0.005299659798038192,0.008618467426276765,0.048583984375
51,104448,-0.0025863700546324255,44.908208636194466,0.9710179539397359,0.005854303698288277,0.008812471406417898,0.0568359375
52,106496,-0.007945226895390078,63.70535574778914,1.0021023470908403,0.007207842127536423,0.005859750459785573,0.081494140625
53,108544,-0.002244742534821853,8.165635414980352,0.9489518949761987,0.00427085597475525,0.005217576722498052,0.04072265625
54,110592,-0.0029403427382931114,64.29319535046815,0.9505384996533394,0.0027102828375063837,0.0011535817437106743,0.012890625
55,112640,-0.005516636506945361,10.11001840494573,0.7395285727456212,0.005856979961390607,0.011321500982739962,0.0689453125
56,114688,-0.0027317098807543515,50.40747503638268,0.7497578898444772,0.003800935484468937,0.003407812147634104,0.03671875
57,116736,-0.007190065007307567,15.089568162336946,1.0186792248860002,0.0053814948973013085,0.007671510620275513,0.05771484375
58,118784,-0.00921003297844436,25.456292732805014,1.0015699643641711,0.008786590877571143,0.006511991162551567,0.084521484375
59,120832,-0.0012948620453244076,50.65247847624123,0.7490553637966514,0.003951064543798566,0.006679949079989455,0.042333984375
60,122880,-0.00378748613584321,4.506795350834727,0.9612487126141787,0.005342452955665067,0.005183029035106301,0.058935546875
61,124928,-0.009129470915650018,2.8699750384315847,1.0153509609401226,0.010234445112291723,0.013167305933893658,0.13466796875
62,126976,-0.002618637983687222,9.12248820308596,0.8433691026642919,0.00530488598451484,0.007977529382333159,0.06142578125
63,129024,-0.0020581048680469393,85.13482313156128,0.8466037089005113,0.005285852192901075,0.007287027858546935,0.08427734375
64,131072,-0.005349408424808644,4.117735685408116,0.9635085890069603,0.007140688205254264,0.00891008040343877,0.1078125
65,133120,-0.003925850716768764,2.559998960420489,0.8291488798335195,0.003912543572369032,0.003224226867314428,0.040380859375
