episode,step,return,length
269,41968,14.36,188
270,42137,27.2,169
271,42328,-15.3,191
272,42565,7.71,237
273,42793,-54.0,228
274,42980,-14.23,187
275,43170,30.06,190
276,43316,-81.03,146
277,43544,-132.01,228
278,44449,-245.63,905
279,44635,-50.3,186
280,44836,-6.28,201
281,45036,-1.54,200
282,45195,-26.0,159
283,45377,17.41,182
284,45556,-75.55,179
285,45778,-41.8,222
286,46778,153.55,1000
287,47778,167.5,1000
288,48034,-74.86,256
289,48294,-179.08,260
290,48465,-77.6,171
291,48669,15.53,204
292,48852,29.0,183
293,49000,-6.59,148
294,49630,174.04,630
295,49791,35.39,161
296,49963,30.77,172
297,50963,-2.34,1000
298,51151,-51.78,188
299,51374,-46.53,223
300,51541,-62.74,167
301,51745,-61.71,204
302,51905,16.42,160
303,52106,-60.93,201
304,52295,17.3,189
305,52494,-31.18,199
306,52665,-1.36,171
307,52800,-16.23,135
308,52970,18.87,170
309,53189,-44.15,219
310,53374,-53.78,185
311,53510,29.6,136
312,53693,-6.98,183
313,53883,-35.66,190
314,54042,-29.03,159
315,54203,42.63,161
316,54362,-61.22,159
317,54548,-46.02,186
318,54729,-15.96,181
319,54890,11.84,161
320,55080,36.49,190
321,55270,-59.26,190
322,56270,147.31,1000
323,56601,-100.53,331
324,56772,-0.21,171
325,56952,-20.61,180
326,57081,-26.12,129
327,57265,58.23,184
328,57600,201.5,335
329,57788,-46.92,188
330,57920,10.02,132
331,58098,-11.44,178
332,58233,-64.43,135
333,58433,-56.61,200
334,58611,5.47,178
335,58766,29.44,155
336,58905,38.98,139
337,59052,-18.23,147
338,59252,-6.08,200
339,59421,-43.92,169
340,60421,51.68,1000
341,60637,-40.05,216
342,60800,-46.43,163
343,60997,-68.21,197
344,61165,-57.1,168
345,62165,86.72,1000
346,62358,-39.07,193
347,62538,-10.46,180
348,62688,-26.31,150
349,62920,13.33,232
350,63920,109.7,1000
351,64133,-40.35,213
352,64352,0.09,219
353,64540,-51.35,188
354,64665,29.28,125
355,64786,1.15,121
356,64972,-37.1,186
357,65972,94.26,1000
358,66972,66.95,1000
359,67143,-15.24,171
360,67281,-47.25,138
361,67461,-31.11,180
362,68461,131.09,1000
363,68625,10.21,164
364,69625,118.93,1000
365,69815,36.17,190
366,69996,-29.73,181
367,70165,-51.61,169
368,71165,139.34,1000
369,71365,-81.13,200
370,71560,-56.39,195
371,71868,153.7,308
372,72868,65.33,1000
373,73868,131.93,1000
374,74078,-81.57,210
375,74251,-62.52,173
376,75251,123.73,1000
377,75422,-203.51,171
378,76422,49.83,1000
379,76558,31.93,136
380,77558,65.24,1000
381,78558,144.88,1000
382,79558,133.69,1000
383,79797,-138.03,239
384,80108,-59.96,311
385,81108,140.22,1000
386,82108,122.13,1000
387,83108,131.46,1000
388,83793,-104.91,685
389,84029,-29.6,236
390,85029,64.36,1000
391,85296,-33.28,267
392,86296,105.34,1000
393,87296,70.94,1000
394,87692,222.65,396
395,88692,138.76,1000
396,89692,130.8,1000
397,90692,116.09,1000
398,90951,-31.61,259
399,91951,64.77,1000
400,92951,115.56,1000
401,93156,15.51,205
